,fast,slow_mult,rsi_threshold,opt_leg1_dollar_from_atm,opt_leg2_dollar_from_leg1,stoploss_pct_of_maxprofit,pnl,model_num,day
41,30,3,70,2,5,0.5,2693.6,13,2022-11-25
42,20,3,70,2,5,0.5,17679.399999999998,1,2022-12-02
43,20,3,70,2,5,0.5,19587.999999999996,1,2022-12-09
44,20,3,70,2,5,0.5,-613.6000000000022,1,2022-12-16
45,20,3,70,2,5,0.5,-15718.799999999988,1,2022-12-23
46,20,3,70,2,5,0.5,54896.0,1,2022-12-30
47,20,3,70,5,10,1.0,-3353.6,11,2023-01-06
48,20,3,70,5,10,1.0,1293.1999999999994,11,2023-01-13
49,20,3,70,5,10,1.0,4540.8,11,2023-01-20
50,20,3,70,5,10,1.0,1742.0000000000002,11,2023-01-27
51,30,3,70,5,10,0.5,-949.5999999999998,22,2023-02-03
52,30,3,70,5,10,0.5,2634.7999999999997,22,2023-02-10
53,30,3,70,5,10,0.5,2279.4,22,2023-02-17
54,30,3,70,5,10,0.5,1755.4000000000005,22,2023-02-24
55,20,3,70,5,5,1.0,1329.6000000000008,8,2023-03-03
56,20,3,70,5,5,1.0,20085.2,8,2023-03-10
57,20,3,70,5,5,1.0,-1435.5999999999995,8,2023-03-17
58,20,3,70,5,5,1.0,417.7999999999993,8,2023-03-24
59,20,3,70,5,5,1.0,883.9999999999998,8,2023-03-31
60,30,3,70,2,5,1.0,-350.5999999999949,14,2023-04-14
61,30,3,70,2,5,1.0,-7502.399999999998,14,2023-04-21
62,30,3,70,2,5,1.0,6908.8,14,2023-04-28
63,30,3,70,2,5,0.1,10434.6,12,2023-05-05
64,30,3,70,2,5,0.1,-1491.0,12,2023-05-12
65,30,3,70,2,5,0.1,-6053.999999999997,12,2023-05-19
66,30,3,70,2,5,0.1,11031.999999999998,12,2023-05-26
67,30,3,70,2,5,0.5,15143.600000000002,13,2023-06-02
68,30,3,70,2,5,0.5,14276.6,13,2023-06-09
69,30,3,70,2,5,0.5,-6658.599999999998,13,2023-06-16
70,30,3,70,2,5,0.5,67648.8,13,2023-06-23
71,30,3,70,2,5,0.5,6734.4,13,2023-06-30
72,20,3,70,2,10,1.0,2979.2,5,2023-07-07
73,20,3,70,2,10,1.0,2181.2000000000003,5,2023-07-21
74,20,3,70,2,10,1.0,917.9999999999998,5,2023-07-28
75,20,3,70,2,10,0.1,-8514.2,3,2023-08-04
76,20,3,70,2,10,0.1,13372.200000000003,3,2023-08-11
77,20,3,70,2,10,0.1,233.00000000000136,3,2023-08-18
78,20,3,70,2,10,0.1,-11543.000000000002,3,2023-08-25
79,20,3,70,5,5,0.1,0.0,6,2023-09-01
80,20,3,70,5,5,0.1,0.0,6,2023-09-08
81,20,3,70,5,5,0.1,4732.800000000001,6,2023-09-15
82,20,3,70,5,5,0.1,0.0,6,2023-09-22
83,20,3,70,5,5,0.1,0.0,6,2023-09-29
84,20,3,70,2,10,1.0,10490.4,5,2023-10-06
85,20,3,70,2,10,1.0,-11130.4,5,2023-10-13
86,20,3,70,2,10,1.0,-16008.0,5,2023-10-20
87,20,3,70,2,10,1.0,11842.8,5,2023-10-27
88,30,3,70,2,5,0.1,2990.3999999999996,12,2023-11-03
89,30,3,70,2,5,0.1,-8507.599999999999,12,2023-11-10
90,30,3,70,2,5,0.1,5610.000000000001,12,2023-11-17
91,30,3,70,2,5,0.1,0.0,12,2023-11-24
92,20,3,70,2,10,0.5,4374.0,4,2023-12-01
93,20,3,70,2,10,0.5,-3196.7999999999997,4,2023-12-08
94,20,3,70,2,10,0.5,4914.0,4,2023-12-15
95,20,3,70,2,10,0.5,-6110.4,4,2023-12-22
96,20,3,70,2,10,0.5,7839.599999999999,4,2023-12-29
97,30,3,70,2,10,0.1,-1033.5999999999992,15,2024-01-05
98,30,3,70,2,10,0.1,-11907.599999999999,15,2024-01-12
99,30,3,70,2,10,0.1,-1661.599999999998,15,2024-01-19
100,30,3,70,2,10,0.1,-1828.999999999999,15,2024-01-26
101,20,3,70,2,10,0.5,5902.4,4,2024-02-02
102,20,3,70,2,10,0.5,-3243.0,4,2024-02-09
103,20,3,70,2,10,0.5,4239.0,4,2024-02-16
104,20,3,70,2,10,0.5,15346.799999999996,4,2024-02-23
105,20,3,70,2,5,0.1,17047.8,0,2024-03-01
106,20,3,70,2,5,0.1,-3657.199999999999,0,2024-03-08
107,20,3,70,2,5,0.1,2052.400000000003,0,2024-03-15
108,20,3,70,2,5,0.1,9.0,0,2024-03-22
109,20,3,70,5,5,1.0,5041.6,8,2024-04-05
110,20,3,70,5,5,1.0,2469.6,8,2024-04-26
111,30,3,70,2,10,0.1,-9200.999999999996,15,2024-05-03
112,30,3,70,2,10,0.1,1423.1999999999998,15,2024-05-10
113,30,3,70,2,10,0.1,6127.2,15,2024-05-17
114,30,3,70,2,10,0.1,18360.0,15,2024-05-24
115,30,3,70,2,10,0.1,1035.000000000001,15,2024-05-31
116,20,3,70,2,10,1.0,7896.0,5,2024-06-07
117,20,3,70,2,10,1.0,-8729.4,5,2024-06-14
118,20,3,70,2,10,1.0,4542.399999999999,5,2024-06-21
119,20,3,70,2,10,1.0,-14131.999999999996,5,2024-06-28
120,20,3,70,2,10,0.1,1022.0000000000002,3,2024-07-05
121,20,3,70,2,10,0.1,12585.6,3,2024-07-12
122,20,3,70,2,10,0.1,20124.800000000003,3,2024-07-19
123,20,3,70,2,10,0.1,7825.2,3,2024-07-26
124,20,3,70,5,10,0.1,-4534.4000000000015,9,2024-08-02
125,20,3,70,5,10,0.1,-5488.7999999999965,9,2024-08-09
126,20,3,70,5,10,0.1,2946.5999999999995,9,2024-08-16
127,20,3,70,5,10,0.1,-5868.199999999997,9,2024-08-23
128,20,3,70,5,10,0.1,7005.6,9,2024-08-30
129,30,3,70,5,10,1.0,-3658.3999999999996,23,2024-09-06
130,30,3,70,5,10,1.0,2063.6,23,2024-09-13
131,30,3,70,5,10,1.0,5123.8,23,2024-09-20
132,30,3,70,5,10,1.0,-1276.8,23,2024-09-27
133,20,3,70,2,5,0.5,20077.799999999996,1,2024-10-04
134,20,3,70,2,5,0.5,-9142.199999999997,1,2024-10-11
135,20,3,70,2,5,0.5,-5364.4,1,2024-10-18
136,20,3,70,2,5,0.5,-3284.4000000000005,1,2024-10-25
137,30,3,70,2,5,0.5,-27223.799999999996,13,2024-11-01
138,30,3,70,2,5,0.5,9136.8,13,2024-11-08
139,30,3,70,2,5,0.5,60756.4,13,2024-11-15
140,30,3,70,2,5,0.5,18396.000000000004,13,2024-11-22
141,20,3,70,5,10,1.0,319.2,11,2024-12-06
142,20,3,70,5,10,1.0,-478.8,11,2024-12-13
143,20,3,70,5,10,1.0,7696.0,11,2024-12-20
144,20,3,70,5,10,1.0,-6334.0,11,2024-12-27
145,30,3,70,2,5,0.1,7655.399999999998,12,2025-01-03
146,30,3,70,2,5,0.1,22213.2,12,2025-01-10
147,30,3,70,2,5,0.1,13827.2,12,2025-01-17
148,30,3,70,2,5,0.1,-12479.999999999996,12,2025-01-24
149,30,3,70,2,5,0.1,2716.8,12,2025-01-31
150,30,3,70,2,10,0.1,-26715.199999999997,15,2025-02-07
151,30,3,70,2,10,0.1,11078.0,15,2025-02-14
152,30,3,70,2,10,0.1,857.199999999999,15,2025-02-21
153,30,3,70,2,10,0.1,-25107.4,15,2025-02-28
154,20,3,70,5,10,1.0,-27026.000000000004,11,2025-03-07
