,fast,slow_mult,rsi_threshold,opt_leg1_dollar_from_atm,opt_leg2_dollar_from_leg1,stoploss_pct_of_maxprofit,pnl,model_num,day
110,20,3,70,5,5,1.0,3049.6,8,2024-04-26
111,30,3,70,2,10,0.1,-8776.199999999997,15,2024-05-03
112,30,3,70,2,10,0.1,1722.4,15,2024-05-10
113,30,3,70,2,10,0.1,6310.6,15,2024-05-17
114,30,3,70,2,10,0.1,18633.4,15,2024-05-24
115,30,3,70,2,10,0.1,1362.2000000000007,15,2024-05-31
116,20,3,70,2,10,1.0,8093.399999999999,5,2024-06-07
117,20,3,70,2,10,1.0,-8416.8,5,2024-06-14
118,20,3,70,2,10,1.0,4747.199999999999,5,2024-06-21
119,20,3,70,2,10,1.0,-13877.399999999996,5,2024-06-28
120,20,3,70,2,10,0.1,1301.8000000000002,3,2024-07-05
121,20,3,70,2,10,0.1,12818.0,3,2024-07-12
122,20,3,70,2,10,0.1,20543.600000000002,3,2024-07-19
123,20,3,70,2,10,0.1,8173.999999999997,3,2024-07-26
124,20,3,70,2,10,0.1,-2048.7999999999993,3,2024-08-02
125,20,3,70,2,10,0.1,-15311.0,3,2024-08-09
126,20,3,70,2,10,0.1,8624.0,3,2024-08-16
127,20,3,70,2,10,0.1,-17018.999999999996,3,2024-08-23
128,20,3,70,2,10,0.1,-8808.399999999998,3,2024-08-30
129,30,3,70,5,10,1.0,-3399.6000000000004,23,2024-09-06
130,30,3,70,5,10,1.0,2214.0,23,2024-09-13
131,30,3,70,5,10,1.0,5299.2,23,2024-09-20
132,30,3,70,5,10,1.0,-1152.3999999999999,23,2024-09-27
133,20,3,70,2,5,0.5,20517.599999999995,1,2024-10-04
134,20,3,70,2,5,0.5,-8300.799999999994,1,2024-10-11
135,20,3,70,2,5,0.5,-4837.799999999999,1,2024-10-18
136,20,3,70,2,5,0.5,-2766.4000000000005,1,2024-10-25
137,30,3,70,2,5,0.5,-26282.199999999993,13,2024-11-01
138,30,3,70,2,5,0.5,9485.6,13,2024-11-08
139,30,3,70,2,5,0.5,61617.6,13,2024-11-15
140,30,3,70,2,5,0.5,18889.200000000004,13,2024-11-22
141,20,3,70,5,10,1.0,455.6000000000001,11,2024-12-06
142,20,3,70,5,10,1.0,-348.3999999999999,11,2024-12-13
143,20,3,70,5,10,1.0,8027.8,11,2024-12-20
144,20,3,70,5,10,1.0,-4879.6,11,2024-12-27
145,30,3,70,2,5,0.1,8294.399999999996,12,2025-01-03
146,30,3,70,2,5,0.1,23085.6,12,2025-01-10
147,30,3,70,2,5,0.1,14220.0,12,2025-01-17
148,30,3,70,2,5,0.1,-12301.799999999997,12,2025-01-24
149,30,3,70,2,5,0.1,3891.8,12,2025-01-31
150,30,3,70,2,10,0.1,-26601.599999999995,15,2025-02-07
151,30,3,70,2,10,0.1,11300.399999999998,15,2025-02-14
152,30,3,70,2,10,0.1,3366.9999999999977,15,2025-02-21
153,30,3,70,2,10,0.1,-24377.0,15,2025-02-28
154,30,3,70,5,10,1.0,36366.0,23,2025-03-07
155,30,3,70,5,10,1.0,3255.199999999999,23,2025-03-14
156,30,3,70,5,10,1.0,-4311.8,23,2025-03-21
157,30,3,70,5,10,1.0,-11281.4,23,2025-03-28
158,30,3,70,5,10,0.1,-28002.599999999995,21,2025-04-04
159,30,3,70,5,10,0.1,-20264.40000000001,21,2025-04-11
160,30,3,70,5,10,0.1,-3417.0000000000045,21,2025-04-25
161,20,3,70,2,10,0.5,-5577.399999999997,4,2025-05-02
162,20,3,70,2,10,0.5,13675.2,4,2025-05-09
163,20,3,70,2,10,0.5,-2116.9999999999986,4,2025-05-16
164,20,3,70,2,10,0.5,22356.8,4,2025-05-23
165,20,3,70,2,10,0.5,-24241.4,4,2025-05-30
166,20,3,70,2,10,0.1,-6326.4,3,2025-06-06
167,20,3,70,2,10,0.1,-6833.6,3,2025-06-13
168,20,3,70,2,10,0.1,-11796.999999999993,3,2025-06-20
169,20,3,70,2,10,0.1,-2029.3999999999996,3,2025-06-27
170,20,3,70,5,10,1.0,723.6,11,2025-07-11
171,20,3,70,5,10,1.0,4471.2,11,2025-07-18
172,20,3,70,5,10,1.0,723.6000000000001,11,2025-07-25
173,20,3,70,5,10,1.0,7529.4,11,2025-08-01
174,20,3,70,5,10,1.0,6216.0,11,2025-08-08
175,20,3,70,5,10,1.0,506.6000000000001,11,2025-08-15
176,20,3,70,5,10,1.0,18092.399999999998,11,2025-08-22
177,20,3,70,5,10,1.0,321.6,11,2025-08-29
178,20,3,70,2,5,0.1,9298.8,0,2025-09-05
179,20,3,70,2,5,0.1,-1579.1999999999998,0,2025-09-12
180,20,3,70,2,5,0.1,42032.0,0,2025-09-19
181,20,3,70,2,5,0.1,-28556.200000000004,0,2025-09-26
182,20,3,70,5,5,0.1,0.0,6,2025-10-03
183,20,3,70,5,5,0.1,-40476.6,6,2025-10-10
184,20,3,70,5,5,0.1,-6572.999999999996,6,2025-10-17
185,20,3,70,5,5,0.1,-722.7999999999993,6,2025-10-24
186,20,3,70,5,5,0.1,5412.6,6,2025-10-31
